sample_id,embryo_id,n_gt_nodes,n_gt_edges,t_min,t_max,gt_nodes_per_t_median,gt_nodes_per_t_max,division_nodes,max_out_degree,estimated_number_of_nodes
6bba_7af54fde,6bba,1131,1092,0,99,11.0,14,2,2,9624
6bba_7b5d3b2c,6bba,565,555,0,99,6.0,7,0,1,5780
6bba_7d3058ae,6bba,1200,1173,0,99,12.0,14,2,2,7611
6bba_7f87b3d8,6bba,1000,934,0,99,10.0,17,3,2,10581
6bba_80d12824,6bba,680,654,0,99,7.0,12,1,2,9021
6bba_825bd1c6,6bba,968,930,0,99,11.0,18,0,1,7586
6bba_87289e13,6bba,724,699,0,99,8.0,11,1,2,14966
6bba_8b7818bf,6bba,741,725,0,99,7.0,10,2,2,5828
6bba_907271db,6bba,945,921,0,99,10.0,11,1,2,7306
6bba_91951b3a,6bba,1188,1148,0,99,12.0,16,0,1,11907
6bba_96833384,6bba,758,721,0,99,7.0,12,0,1,4869
6bba_969618f6,6bba,679,658,0,99,7.0,9,3,2,13888
6bba_971fa5e0,6bba,792,767,0,99,8.0,10,0,1,5609
6bba_9a41d029,6bba,1401,1353,0,99,14.0,19,2,2,18231
6bba_9e23430b,6bba,914,891,0,99,9.0,12,1,2,7708
6bba_a5e926bb,6bba,741,698,0,99,7.0,14,0,1,8440
6bba_a90a0b9c,6bba,1147,1112,0,99,10.0,20,0,1,36896
6bba_ab78413d,6bba,1179,1138,0,99,12.0,15,2,2,9241
6bba_acd782a8,6bba,356,330,12,99,3.0,12,0,1,19710
6bba_ae82a791,6bba,1495,1471,0,99,15.0,18,0,1,7403
6bba_aeee7805,6bba,795,768,0,99,8.0,12,1,2,5034
6bba_af149c94,6bba,1350,1317,0,99,14.0,16,0,1,8933
6bba_afb141ff,6bba,654,626,0,99,6.0,12,4,2,6054
6bba_b1ae37b9,6bba,612,579,0,87,7.0,15,0,1,24298
6bba_b204cac7,6bba,826,811,0,99,8.0,9,2,2,5092
6bba_b329af44,6bba,1316,1268,0,99,12.0,20,1,2,62465
6bba_b693381b,6bba,983,935,0,99,9.0,15,0,1,5558
6bba_bb9f20c3,6bba,1925,1879,4,99,20.5,25,3,2,23071
6bba_bbb708ca,6bba,892,861,0,99,9.0,14,0,1,6785
6bba_c27cba08,6bba,517,493,0,99,5.0,10,0,1,6445
6bba_c328f2fd,6bba,511,500,4,99,5.0,9,2,2,31228
6bba_c73a1d11,6bba,737,710,5,99,7.0,14,0,1,16315
6bba_cdcfe533,6bba,1419,1348,18,99,18.5,28,4,2,29785
6bba_cf35214c,6bba,842,817,0,99,8.0,13,0,1,34890
6bba_cff5865f,6bba,1571,1501,3,99,18.0,28,0,1,46362
6bba_d0fc38b5,6bba,835,813,0,99,8.0,10,0,1,6111
6bba_d1acb6ff,6bba,681,643,0,99,6.0,15,1,2,14719
6bba_d2b9fc0c,6bba,944,921,0,99,9.0,15,2,2,20178
6bba_d3da753b,6bba,887,857,0,99,9.0,13,1,2,17246
6bba_d5eae175,6bba,528,519,2,99,6.0,8,0,1,4519
6bba_d6ecebbb,6bba,886,862,0,99,8.0,15,0,1,5359
6bba_d82a4fc6,6bba,545,530,0,99,5.0,8,0,1,27716
6bba_debd7bfa,6bba,766,729,0,99,7.5,15,4,2,11807
6bba_df673a83,6bba,668,654,0,98,7.0,10,4,2,19239
6bba_e16ffc58,6bba,964,942,0,99,10.0,13,1,2,6367
6bba_e5e44988,6bba,666,634,0,99,7.0,10,0,1,5615
6bba_ebdf3b34,6bba,847,803,0,99,8.0,17,2,2,56847
6bba_ebff6e76,6bba,1318,1264,0,99,11.0,27,0,1,41596
6bba_ed9377fd,6bba,531,508,0,99,6.0,7,0,1,4443
6bba_edf14583,6bba,801,760,0,99,8.0,12,0,1,59242
6bba_eebc57a5,6bba,1026,989,0,99,11.0,13,0,1,9347
6bba_ef7b4f7e,6bba,1234,1201,2,99,13.0,16,2,2,6107
6bba_f17befbc,6bba,1078,1015,0,99,11.0,17,0,1,24963
6bba_f1fde7e0,6bba,476,446,0,99,5.0,8,0,1,9040
6bba_f20478e9,6bba,1003,963,0,99,9.0,16,1,2,5973
6bba_f4ae811c,6bba,1001,965,0,99,10.0,15,0,1,8903
6bba_f8ffd5e7,6bba,389,370,0,99,4.0,9,2,2,29540
6bba_fbc898dc,6bba,655,639,0,99,7.0,10,0,1,4889
6bba_fc516dc6,6bba,788,762,0,99,8.0,12,0,1,7866
6bba_fc5f39dc,6bba,471,458,0,99,4.0,8,2,2,14020
6bba_fc83837d,6bba,957,923,0,99,10.0,14,0,1,13087
6bba_fe670320,6bba,716,680,0,99,6.0,13,2,2,10836
